unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1.72247E+12,8/1/2024 0:00,SOL/USD,171.67,172.8,157.88,167.401,43477.8259,7278231.534155504
1.72238E+12,7/31/2024 0:00,SOL/USD,179.219,184.344,171.55,171.67,16404.61754,2816180.6929201297
1.7223E+12,7/30/2024 0:00,SOL/USD,182.64,184.644,175.477,179.219,14327.83292,2567819.887910261
1.72221E+12,7/29/2024 0:00,SOL/USD,184.977,193.815,181.634,182.64,43437.61175,7933445.409
1.72212E+12,7/28/2024 0:00,SOL/USD,183.629,186.605,181.235,184.977,7887.048626,1458922.593691602
1.72204E+12,7/27/2024 0:00,SOL/USD,183.138,188.275,178.261,183.629,17382.73275,3191973.832517008
1.72195E+12,7/26/2024 0:00,SOL/USD,171.813,183.66,171.758,183.138,18123.96198,3319186.1481775497
1.72187E+12,7/25/2024 0:00,SOL/USD,178.039,179.508,165.456,171.813,34408.15506,5911768.345151966
1.72178E+12,7/24/2024 0:00,SOL/USD,172.97,182.45,171.012,178.039,15596.34389,2776757.470187788
1.72169E+12,7/23/2024 0:00,SOL/USD,179.049,180.207,170.554,172.97,20903.11591,3615611.9584337897
1.72161E+12,7/22/2024 0:00,SOL/USD,184.345,184.796,176.852,179.049,16489.94344,2952507.883167609
1.72152E+12,7/21/2024 0:00,SOL/USD,174.171,185.059,170.75,184.345,19273.93142,3553052.887066865
1.72143E+12,7/20/2024 0:00,SOL/USD,169.185,175.115,167.462,174.171,10269.45709,1788641.6104740477
1.72135E+12,7/19/2024 0:00,SOL/USD,158.969,172.424,156.301,169.185,23160.68966,3918441.2797887297
1.72126E+12,7/18/2024 0:00,SOL/USD,155.481,161.572,155.26,158.969,10464.11031,1663469.1515524518
1.72117E+12,7/17/2024 0:00,SOL/USD,160.626,163.792,154.729,155.481,22171.99952,3447324.657058158
1.72109E+12,7/16/2024 0:00,SOL/USD,159.429,162.5,152.875,160.626,19701.82546,3164625.4161773343
1.721E+12,7/15/2024 0:00,SOL/USD,147.5,160,147.124,159.429,22436.62551,3577048.7681149323
1.72092E+12,7/14/2024 0:00,SOL/USD,142.036,148.551,142.036,147.5,25808.85857,3806806.638
1.72083E+12,7/13/2024 0:00,SOL/USD,139.517,143.5,138.138,142.036,6931.024616,984455.0123581759
1.72074E+12,7/12/2024 0:00,SOL/USD,135.755,140.716,133.972,139.517,7702.810281,1074672.981974277
1.72066E+12,7/11/2024 0:00,SOL/USD,142,145.949,135.755,135.755,14786.85888,2007390.0267113799
1.72057E+12,7/10/2024 0:00,SOL/USD,141.349,146.202,138.598,142,12426.28545,1764532.5337580002
1.72048E+12,7/9/2024 0:00,SOL/USD,139.618,144.2,136.448,141.349,12611.75559,1782659.0403255138
1.7204E+12,7/8/2024 0:00,SOL/USD,131.432,141.749,127.898,139.618,22512.58367,3143161.907256914
1.72031E+12,7/7/2024 0:00,SOL/USD,143.041,143.319,131.1,131.432,13241.63893,1740375.0879791917
1.72022E+12,7/6/2024 0:00,SOL/USD,134.338,144.272,132.471,143.041,10732.95713,1535252.9202601658
1.72014E+12,7/5/2024 0:00,SOL/USD,127.854,136.425,121.051,134.338,35378.26414,4752645.248442334
1.72005E+12,7/4/2024 0:00,SOL/USD,140.739,142.575,127.234,127.854,36652.64169,4686186.850121845
1.71996E+12,7/3/2024 0:00,SOL/USD,153.582,154.164,138.968,140.739,26994.52533,3799182.500841087
1.71988E+12,7/2/2024 0:00,SOL/USD,146.221,154.8,146.026,153.582,20313.96777,3119859.797437812
1.71979E+12,7/1/2024 0:00,SOL/USD,146.466,149.078,145.638,146.221,11663.32519,1705423.073045653
1.71971E+12,6/30/2024 0:00,SOL/USD,140.034,147.319,136.951,146.466,10847.46892,1588785.3834225843
1.71962E+12,6/29/2024 0:00,SOL/USD,139.712,142.863,139.517,140.034,8419.276716,1178984.995648344
1.71953E+12,6/28/2024 0:00,SOL/USD,149.5,150.536,138.789,139.712,17130.09175,2393279.378855424
1.71945E+12,6/27/2024 0:00,SOL/USD,136.734,150.984,135.18,149.5,24861.72481,3716827.858
1.71936E+12,6/26/2024 0:00,SOL/USD,136.539,140.302,135.016,136.734,10444.14111,1428069.190398006
1.71927E+12,6/25/2024 0:00,SOL/USD,132.5,139.839,131.279,136.539,12808.32255,1748835.5521082939
1.71919E+12,6/24/2024 0:00,SOL/USD,128.573,132.5,122.722,132.5,30244.73372,4007427.218
1.7191E+12,6/23/2024 0:00,SOL/USD,133.656,135.023,128.121,128.573,10686.05877,1373938.634749502
1.71901E+12,6/22/2024 0:00,SOL/USD,134.512,136.591,133.143,133.656,5954.189936,795813.2101
1.71893E+12,6/21/2024 0:00,SOL/USD,133.42,135.244,128.667,134.512,15782.98775,2123001.248766048
1.71884E+12,6/20/2024 0:00,SOL/USD,135.585,141.15,131.88,133.42,13161.26906,1755976.5174515196
1.71876E+12,6/19/2024 0:00,SOL/USD,137.583,141.869,134.478,135.585,33450.0427,4535324.039
1.71867E+12,6/18/2024 0:00,SOL/USD,143.31,143.512,128.04,137.583,51121.64481,7033469.257343898
1.71858E+12,6/17/2024 0:00,SOL/USD,151.212,151.594,139.864,143.31,21157.0637,3032018.7982737604
1.7185E+12,6/16/2024 0:00,SOL/USD,145.464,151.215,143,151.212,9322.10447,1409614.061
1.71841E+12,6/15/2024 0:00,SOL/USD,142.951,145.604,142.951,145.464,3920.132823,570238.201
1.71832E+12,6/14/2024 0:00,SOL/USD,147.349,149.035,139.641,142.951,28001.48632,4002840.4703585156
1.71824E+12,6/13/2024 0:00,SOL/USD,155.13,155.136,146,147.349,16045.97755,2364358.746456997
1.71815E+12,6/12/2024 0:00,SOL/USD,149.394,161.689,145.541,155.13,28365.69057,4400369.578
1.71806E+12,6/11/2024 0:00,SOL/USD,159.015,159.617,145.121,149.394,44968.97196,6718094.597291029
